"project_id","project_name","cohort","organization_name","organisation_id","country","framework_key","description","status","project_status"
"921e8a4e-db12-4231-b474-69030cd6513d","Agir pour un écosystème durable autour de la Rivière Ruzizi à partir du  Sud-Kivu ,  ""APEDAR-Sud-Kivu""",terrafund-landscapes,,2237,CD,terrafund-landscapes,"- Mois 1 et 2 : réunions avec les comités de développement, échanges sur les espaces disponibles pour les reboisement et confirmation des types d’essences à promouvoir dans le projet...), contractualisation avec les détenteurs des  espaces pour les pépinières , mise en place des équipes, les contacts avec les différentes parties prenantes engagées dans le projet, mise en place un plan de travail et budget annuel ( PTBA an 1 du projet) , mise en place des outils de suivi et évaluation, les contacts pour l’acquisition des semences et outils pour les pépinières
- Mois 3 : Début du travail de débroussaillage, de labour, d’ameublissement des sols, approvisionnement en matière organique, aménagement des plates-bandes , semis pour les espèces à croissance lente. Le paillage sera fait et les ombrières placées avant d’envisager plus tard le repiquage des plantules en fonction de leur croissance. Les autres activités des pépinières vont continuer jusqu’en 2025. 
En même temps que l’activité des pépinières se met en place, l’organisation sociale locale sera en train d’être accompagnée par l’équipe du projet afin d’assurer que les règles de gestion des arbres plantés sont mises en place, la participation communautaire au projet est assurée,...
- Dès le 8è mois, en même temps que les plantules évoluent en pépinières, les trouaisons vont commencer dans les sites où le reboisement systématique est prévu.
- Au 10è mois,  les premières plantations vont commencer, après une vaste campagne de sensibilisation des différents acteurs impliqués. Cette plantation va se poursuivre jusque décembre- janvier 2025, dépendant de la disponibilité des pluies.
-Les mois suivant les premières plantations seront mis à profit pour surveiller les plantations faites et préparer les autres activités pour la prochaine campagne des pépinières.
Ces activités de plantation seront ainsi conduites jusque fin décembre 2025. Après ce seront des activités de suivi des plantations ainsi que le regarnissage.
-Les activités de suivi-évaluation et de surveillance des plantations vont se passer de janvier 2026 jusqu’à la fin du projet. Parallèlement à cela, des activités de suivi des activités socio-économiques des communautés pour les aspects organisationnels ainsi que des activités générées par le travail de restauration des terres et de plantation d’arbres",approved,
"943bb150-f1b7-4ad2-bb9e-60a559df2ebd",Agriculture and forest landscape restoration - Goshen Global Vision,terrafund,,869,GH,terrafund,"January through February 2022 – Stakeholder engagements, procurement of seeds from Government Agency (Forestry Research Institute of Ghana (FORIG)). At the same time, sites for establishing seedling nursery will be identified by community members and other stakeholders, site preparation activities will commence with women and the youth, including preparation of germination beds, filling of polyethylene pots with compost soil and procurement of nursery tools.
March 2022 – Various seeds procured will go through treatment to break dormancy, which will range from soaking seeds in lukewarm, warm and boiling water depending on the characteristic of a particular seed and placed on germination beds, provided with shade/mulch and watered regularly. 
April through May – Community members will transfer seedlings from germination beds and transplanted into polyethylene pots at the nursery and regularly watered and maintained to minimize disease and pest attacks. This time will be used to grow the seedlings, perform nursery management practices to ensure rooting systems are well established and ready for outplanting. 
June, July, August, 2022 –. Trainings on outplanting of seedlings to minimize shock and good planting methods will be conducted in all the various communities. This period falls within the major raining season. 100,000 seedlings will be out-planted in the field. 
 September, November, 2022 – Seedling monitoring with farmers, volunteers and stakeholders (Forestry Commission and Ghana Cocoa Board) coupled with education on management practices to ensure good survival rate.
 December 2022 – collection of monitoring data
January-December 2023 – The cycle described above will be repeated for another 100,000 during this period. 
January through December 2024 – Continued monitoring.",approved,new_project
"0f4bdbba-adf9-4554-ba29-fb28d3b9c1fd",AGRICULTURE AND FOREST LANDSCAPES RESTORATION PROJECT,terrafund-landscapes,,869,GH,terrafund-landscapes,"2025-09-30
1.    January 2024 - Stakeholder engagements, awareness creation, procurement of seeds. At the same time, sites for establishing seedling nursery and types of native tree species will be identified by community members and other stakeholders, site preparation activities will commence with women and the youth, including preparation of germination beds, filling of poly pots with compost soil and procurement of nursery tools.
2.    February, 2024 - Trainings on germination bed preparation, filling of polypods with compost, seedling identification and arranging filled polypods will be done.  Various native seeds procured will go through treatment and placed on germination beds, provided with shade/mulch and watered regularly.
3.    March, 2024 - Community members will receive trainings in nursery management and maintenance, transplanting techniques and taking care of the root system to avoid mortality after transplanting, seedling watering techniques, weed, pest and disease control. After the training the community members will transfer sprouted seedlings from germination beds and transplanted into polyethylene pots at the nursery and regularly watered and maintained to minimize disease and pest attacks.
4.    April, 2024 - This time will be used to grow the seedlings, perform nursery management practices to ensure rooting systems are well established and ready for out planting. This month will also be used for re-awareness creation with executives of the various farmer cooperatives to re-evaluate distributions and planting done so far to learn lessons and success to inform strategies mapped up for distribution and planting of nursed seedlings. Shade will also be removed from the nursery to harden the seedlings to condition them for the harsh conditions on the field.
5.    May -  July, 2024 - Trainings will be done on out planting of seedlings to minimize shock, acceptable planting distances, handling of distributed seedlings and good planting methods will be conducted in all the various communities where distribution will be done. This period falls within the major raining season, all agro- forestry sites will be planted as well as 80% of planting in the forest reserves.
6.    August - November, 2024 - Planted Seedlings monitoring with farmers, volunteers and stakeholders (Forestry Commission and Ghana Cocoa Board) coupled with education on management practices to ensure good survival rate.
7.    December 2024 - collection of monitoring data and verification monitoring by Goshen Global Vision and collation of monitoring data for the 137,500 trees out planted.
8.    January-December 2025 - The cycle described above will be repeated for another 137,500 tree seedlings during this period.",approved,
"47f07709-b503-4eeb-98fa-aea62e979ca8",Agroecology Project - Centre ValBio,terrafund,,191,MG,terrafund,June 2022-June 2027,approved,new_project
fd1c50d3-1bd9-454a-bd81-8493b9ab2e84,AgroForest Carbon Project,terrafund-landscapes,,2854,GH,enterprises,"Jan to Feb 2024 - Stakeholder (Forestry Commission District Manager, Cocobod extension officers, Municipal Assembly, smallholder farmers) consultation to sensitise about kick off of project, Nursery site preparation and renovation of sheds, irrigation, shade nets.
Feb to March 2024 - Purchase of nursery bags, seeds, black soil, chicken manure, sawdust for soil composting for seedlings production
March 2024 - filling of poly bags with soil, broadcasting of seeds, preparation pegs, forest site land preparation
April-May 2024 - Pegging of planted areas at forest site, purchase of plantain and taro suckers and seeds for food crops
June- September 2024 - Planting of 100 ha of prepare forest site ,  planting of plantain, taro suckers and food crops, monitoring and mapping of planted area
October 2024 - Beating up of planted seedlings that did not survive 
November 2024 - Monitoring and evaluation


Feb to March 2025 - Purchase of nursery bags, seeds, black soil, chicken manure, sawdust for soil composting for seedlings production
March 2025 - filling of poly bags with soil, broadcasting of seeds, preparation pegs, forest site land preparation
April-May 2025 - Pegging of planted areas at forest site, purchase suckers and seeds of food crops ( plantain, taro, maize and vegetables)
June- September 2025 - Planting of 100 ha of prepare forest site ,  planting of food crops 
October 2025 - Beating up of planted seedlings that did not survive 
November 2025 to 2029 - Monitoring and evaluation",approved,
d4c495f1-67d4-49c7-96bc-e38e3b35f263,Agroforesterie et reforestation communautaire en commune Buganda,terrafund-landscapes,,2632,BI,terrafund-landscapes,"• Recrutement personnel et lancement du projet : Janvier à Mars 2024
• Sensibilisation et structuration d’associations de pépiniéristes : Mars à Avril 2024
• Etablissement de la situation de référence : Avril à Juin 2024
• Suivi de la production des plants par les associations de pépiniéristes : Juin à Décembre 2024
• Préparation du site de mise en place des plants + plantation : Novembre-Décembre 2024
• Suivi de la reprise et regarnissage éventuel : Décembre 2024
• Rapportage annuel : chaque décembre de l’année jusqu’en 2029
• Suivi Entretien des plants dans les exploitations et sur la colline Zina : Janvier 2025 à Décembre 2029
• Préparation des plants de regarnissage : Juin à Décembre 2025
• 2è regarnissage : Novembre à Décembre 2025
• Formation/accompagnement sur les bonnes techniques sylvicoles après mise en place : Janvier 2025 à
Décembre 2029",approved,
"71ffc45f-584a-472c-808d-7715c8d94929",Agroforestry - nurseries and trees - Exotic EPZ,terrafund,,1255,KE,enterprises,"2022 - Identifying the project sites and recruitment of project team and partners. This will include recruiting nurseries that are certified by KEPHIS, identifying and establishing partnerships who will help deliver the goals and targets. Lastly the project will achieve planting of seedlings - at least 10,000 indigenous seedlings. 2023 will see see planting of macadamia trees and the start of five years of maintenance and monitoring work.",approved,new_project
cbe97cc6-8469-487a-af4a-056d52215742,Agroforestry - OPE,terrafund,,822,TZ,terrafund,JUNE 2022 - DECEMBER 2026,approved,new_project
f9dc4f5a-503b-45e5-baf0-0162f7bdb891,"AGROFORESTRY AND MANGROVE RESTORATION PROJECT IN SOUTH COMOE, COTE D'IVOIRE - Blue Forest",terrafund,,814,CI,terrafund,December 2027,approved,existing_expansion
b399dd24-0330-4abd-b3b9-acfb30e511eb,"AMBIO/Coopertiva AMBIO SC de RL/Restauración forestal, establecimiento y mantenimiento de sistemas agroforestales en comunidades de la Sierra Madre de Chiapas",ppc,,562,MX,ppc,,approved,
da7fab67-92c7-4703-b2e0-d20c9cadcdde,Assisted Natural Regeneration in the Kruger to Canyons Biosphere,terrafund,,1145,ZA,terrafund,June 2022 till May 2027,approved,new_project
e280730f-181f-48f5-a037-288c47a6db0a,"AVOCADO TREE FRUITS, SEEDLINGS REDISTRIBUTION AND  AGRI BUSINESS CONSULTANCY PROJECT",terrafund-landscapes,,1748,KE,enterprises,"Our project's main activities are divided into several key stages, each with its own timeline and expected outcomes. Here's a breakdown:

Soil Preparation and Seed Planting (1st March to 1st April 2024):
During this period, our team will focus on soil preparation, which involves tasks such as soil sieving to remove debris and ensure optimal soil texture for plant growth.
Additionally, we'll be potting the soil into avocado seeds and planting them in suitable containers or directly in the prepared soil.
The goal here is to initiate the germination process and provide the young seedlings with the necessary environment to establish their root systems.

Grafting and Gestation Period (After 1st April 2024):
Following the initial planting phase, our attention will shift towards grafting the seedlings. Grafting is a horticultural technique where tissues from one plant are inserted into those of another so that they will unite and grow as one plant.
After grafting, we'll enter a gestation period where the grafted seedlings will need time to develop and strengthen. This period typically spans around three months, during which we'll monitor the progress of the plants closely.

Plantation Preparation (From November 2024):
As we approach November 2024, assuming the gestation period proceeds as expected, our focus will shift to preparing the seedlings for plantation.
This preparation includes ensuring that the seedlings are adequately hardened off and ready for transplantation into the field.
However, the timing of plantation will largely depend on the confirmation of sufficient rainfall. Avocado trees require a consistent water supply, particularly during their early stages of growth. Therefore, we'll wait for rain confirmation to ensure the optimal conditions for successful transplantation.

From January 2025- Mass mobilization of farmers and planting of avocado seedlings, for the first 6 months all plantation will be done. From June to December 2025, we are monitoring the seedlings survival rate and replacing the dead seedlings.
From Jan 2025-2029- Seedlings monitoring , husbandry and tree feeding programs adopted. After 3 year in planting- Harvesting of the first fruits and linking to export market.",approved,
fdde47ac-770e-4b7b-861b-9e4520ba906c,BADILI: Building Agroforestry and Developing Independent Livelihoods in Iringa - Trees for the Future,terrafund,,1152,TZ,terrafund,"In 2022, the project will mobilize and register 400 new farmers. Nursery establishment and development will begin in July 2022. Outplanting of trees will occur in alignment with the rains between December 2022-February 2023. Training activities will follow the agricultural and seasonal calendar through the end of tree planting. Monitoring and reporting will continue through 2026, for a full 5 year project.",approved,existing_expansion
"576c1769-ed59-406d-ae6f-d70b136d028c",Bahati Forest Conservation & Livelihood Improvement Project ( BACOLIP),terrafund-landscapes,,2040,KE,terrafund-landscapes,"Year 1 (2024)
1.	CFA and community capacity building.
- CFA capacity building on governance and strengthening - 8th and 9th March, 2024
 - Community capacity building on climate change effects, fire awareness, and IGA’s - 16th Feb, 2024 and 15th March, 2024
2.	Purchase of seeds and potting tubes - 20th February, 2024
3.	Mapping 
-Forest site - 25th January, 2024
- Agroforestry- 11th to 16th March, 2024 (6 days).  11th, 12th, 17th, 18th & 19th April,  2024 (5 days) - total 11 days
4.	Site preparation- 1st April to 30th April, 2024
- Opening of access road to site
- Site clearance
5.	Marking and pitting- 15th April- 30th May 2024
6.	Planting - 15th May - 30th June 2024
7.	Survival count - July 24th - July 26th, 2024
8.	Beating up / gap filling - Oct 15th - Oct 22, 2024
9.	Protection and maintenance (ongoing from 15th May, 2024)
- Spot weeding of the seedlings
- Scout engagement - on-going from February 2024
10.	Collecting polygons- by 31st July 2024.
11.	Project reporting- by 31st July 2024 and 31st January 2025.

Year 2 (2025)
1.	Site preparation- 7th April to 30th April, 2025
- Site clearance
2.	Marking and pitting- 21st April to 31st May, 2025
3.	Planting – 1th May- 30th June, 2025
4.	Survival Count – July 21st to July 25th, 2025 
5.	Beating up/gap filling – Oct 15th to Oct 31st, 2025
6.	Protection and maintenance (ongoing from 1st May 2024 – December 2029)
-	Spot weeding of the seedlings
-	Scout engagement- on-going from April 2024- December 2029
7.	Collecting polygons- by 31st July 2025.
8.	Project monitoring- 4th quarter of 2025 
9.	Project reporting by 31st July 2025 and by 31st January 2026

Year 3 (2026)
1.	Community trainings (Nursery management) – 1st quarter 2026
2.	Training and equipping community scouts for site protection – January 2026 
3.	Spot weeding- February 2026 and September 2026 
4.	Project monitoring and evaluation- on-going since 2024
5.	Project reporting- by 31st July 2026 and by 31st  January 2027

 Year 4 (2027)
1.	Community trainings (Climate Change) – 1st quarter of 2026
2.	Spot weeding- February 2027
3.	Site protection (community scouts)- on-going since 2024
4.	Protection against forest fires- on-going since 2024
5.	Project monitoring-  on-going since 2024
6.	Project reporting- 31st July 2027 and by 31st  January 2028

Year 5 (2028)
1.	Training of Nursery support on beneficiaries on entrepreneurship and access to market- 1st quarter of 2028
2.	Spot weeding - February and September 2028
3.	Site protection (community scouts)- On-going since 2024
4.	Protection against forest fires - On-going since 2024 
5.	Project monitoring - On-going since 2024
6.	Project reporting - 31st July 2028 and by 31st  January 2029

Year 6 (2029)
1.	Refresher training on tree nursery management and climate change- 2nd quarter of 2029
2.	Spot weeding- September 2029
3.	Site protection (community scouts) - On-going since 2024 
4.	Training of on-farm beneficiaries on good agricultural practices including soil conservation strategies- 2nd quarter of 2029  
5.	Fire awareness, control, including strategies on arson reduction- 2nd quarter of 2029
6.	Final project monitoring, evaluation, closure & final report- 4th quarter of 2029",approved,
"174cb80b-d4df-45f7-9f96-9fc5788b217a",Bôndy Bamboo,terrafund,,603,MG,enterprises,"5 years",approved,new_project
"5e47b46c-108b-46b8-9597-fcab0a4bc1da",Building climate resilient farmlands and restoring the drylands of central Indian tribal belt through Sustainable Agriculture and Natural Resource Management,hbf,,4136,IN,hbf,"The stages of implementation has been broken down as per the project activities and deliverables as given below: 
1.	The project seeks to yield both ecological and economic dividends, with a dual focus on enhancing biodiversity and boosting farmers' income by restoring 2,000 hectares.
Key stages of implementation-
Stage 1- Beneficiary selection for practicing NPM and updating baseline and Site profiling- For the main objective of our proposed project is reviving the deteriorating fertility status of the farmlands, it is pertinent to identify farmers and farms that will be focused and acted on. This will enable the mapping and demarcation of 2000 hectares under restoration to track and ensure implementation. This will help to ensure full compliance and outputs and help with the record-keeping. This will probably be done by August 2024.
Stage 2- Capacity building of the farmers to build climate resilient farms- Once the farms are selected, capacity building of the farmers/beneficiaries becomes the next requisite. In order to build climate resilient farms that are more ecologically positive, trainings and technical hand-holding on soil health management practices as well as biological, cultural and nature positive methods of pest, disease and weed management are to be given. The importance of diversification, crop rotation, intercropping and plantations as well as allied activities shall be focused and disseminated.  This will be done throughout the cropping season as and when needed. For the next 6 months, it will be starting by August- September for the upcoming rabi season. 
Stage 3- Soil testing and planning to design Package of Practices for NPM (POP)- As we will be working on soil health, its crucial to measure the OC of the soil samples to take as a baseline and then planning to make a POP particular to crops under NPM covering all protocols like seed germination, seed treatment, seed rate and spacing, use of organic manures and cultures etc. that will ensure to reduce the cost of cultivation and increase the farmer’s income as well as improve the soil health over time. This will be executed in the month of September-October before the onset of the rabi cropping. 
Stage 4- Support for inputs to promote NPM agriculture- Starting from seed availability of different crops to promote seed diversification to ensuring availability of bio-fertilizers and bio-pesticides in subsidized rates from BRCs will help reduce the cost of cultivation for these farmers and thus increase their household income. This will again be done throughout the crop season. The rabi crop usually is sown from November to February/March. 


2.Through ecological diversification, it introduces a variety of crops and farming techniques to bolster ecosystems' resilience to climate fluctuations, thus equipping farmers with more adaptive tools and planting 20,000 trees.
Key stages of implementation-
Stage 1- Trials and Demonstrations-  Through trails of different crops, the suitable varieties and crops are selected and then demonstrated to be adopted by the farmers. We plan on doing the same in the upcoming season including trails of mustard, coriander, lentil and vegetables. All of these being rabi crops will be planted between November-February. 
Stage 2- Provision of seeds- Based on the success of the trials, seeds will be provided to the farmers of different crops promoting diversification and resilience to climate fluctuations. 
Stage 3- Technical hand-holding with the package of practices- To help with the farming techniques, package of practices will be designed and implemented for every crop to ensure better agricultural practices that help equipping farmers for climate resilient farming. This will be done throughout the planting season with the small and marginal farmers identified. 
Stage 4- Land use planning – As an adaptive tool, land use planning is an approach that helps the farmer use his land in an efficient manner to get maximum income out of it. In this approach, fruit trees are planted in a small piece of land to help create an additional source of income for the farmers. This will be done from July-august where tree saplings will be distributed to farmers for planting. 
Stage 5- Site selection for planting trees- For the plantation of trees, site selection will be the first step and identifying whether  it is forest land or revenue land and planning for the plantation accordingly. This should be taken up from July- August 
Stage 6- Identification of ‘van samitis’ and mobilizing them for plantation- On site selection and identification, in forest land plantation can only be done with the ‘van samitis’. So, the next step will be mobilizing and promoting them to plant trees. This should be done by July-August this year. 
Stage 7- Plantation, fencing and watering- Upon mobilizing the ‘van samitis’, digging of the pits will be followed by plantation and thereafter the trees will be fenced and watered through the year by the people of the ‘van samitis’. 


3.It tackles soil erosion and optimizes water retention by employing methods like building check dams and improving drainage lines.
Key stages of implementation-
Stage 1- Site selection- The first step of implementing soil and moisture conservation work is to select the site where it is required 
Stage 2- Designing and planning of the structures- After selection, there will be planning for the structures and designing them to adapt the topography
Stage 3- Technical Sanction and Administrative sanction – This will be followed by the technical sanctioning and administrative sanctioning of the structures
Stage 4- Implementation- Upon this, the structures will thus be built. The time line for the soil and moisture conservation work will be the summer months i.e. April-May 2025. 

4.Innovative water-saving techniques, including mulching and micro-irrigation, are encouraged, alongside the cultivation of crops tailored to local environments, to ensure efficient water use.
Key stages of implementation-
Stage 1- Beneficiary identification- For promoting water-saving techniques, beneficiaries interested to adopt micro-irrigation will have to be identified and then making them understand the need and use of micro-irrigation will be the first step. 
Stage 2- Convergence with govt. schemes and community contribution for ownership- It will be seen if some farmers can be supported both from the project and with convergence from micro-irrigation schemes to subsidize the cost of buying drip and sprinklers. In this step, it will also be seen to set some community contribution to ensure ownership and accountability. 
Stage 3- Implementation- Further, support will be provided to source good quality micro-irrigation systems and to do demonstrations with drip and sprinklers along with practices like mulching to promote adoption of water-saving techniques in farming. 


5.It seeks to foster biodiversity by integrating native species and sustainable farming. Economically, the project aspires to enhance farmer incomes through crop diversification, cost-efficient practices, and added value to their produce.
Key stages of implementation-
Stage 1- Practicing NPM with farmers and plantation- By promoting the adoption of NPM, it will help restore soil health and soil microbial population and foster biodiversity. In addition to this, plantation of indigenous tree saplings will be done in the identified villages so that native species can be promoted. 
Stage 2- Procurement/ Aggregation of pesticide-free and safe produce- To help farmers have access to fair and remunerative prices, support will be given for aggregation to the farmers for transportation and labour costs to help with timely marketing of the pesticide free produce. 
Stage 3- Value addition of the aggregated produce- This aggregated produce will then be processed further to add value and sell to fetch better prices. 
Stage 4- Forward marketing through FPO- The value addition part and the market linkages will be done by the FPO we promote, named RRPPCL. 

6.This comprehensive strategy is designed to empower small and marginal farmers by reinforcing ecosystems to face climate adversities and elevate their economic standing.
Key stages of implementation-
Stage 1- Land use planning- To deal with climate adversities and elevate their income, land use planning is a strategy to be adopted where different fruit trees are given to plant in a said structure which will yield them an additional source of income throughout the year. 
Stage 2- Establishment of kitchen garden- Kitchen gardens or Nutri-gardens will be established with farmers to promote nutritional sufficiency as well as serve as a source for surplus income. Kitchen gardens kits will be distributed in all crop seasons keeping in mind the seasonality of vegetables starting this rabi season i.e. November-December. 
Stage 3- Crop diversification- Crop diversification is the focal point to mitigate the adversities of the climate change and increase the income of the farmers. This will be a focus in every crop season in the upcoming 2 years. 

Note: Community mobilization, Regular capacity building of the farmers and community members  is a common step which will be practiced to ensure proper implementation of the project throughout the project period. Other than that, liaisoning and convergence with various government departments and schemes will also be a common step in all activities to be undertaken under the project, as and when required.",approved,
de890c8e-1707-4b69-aa21-7fc551ef7a6a,Building resilient livelihoods through reforestation and agroforestry at Atewa Forest,terrafund-landscapes,,518,GH,terrafund-landscapes,"2024
Community engagements on Project Feb.-Mar 2024
Capacity building for 13 women in tree seedling nursery management, seedling care and propagation Mar 2024
Establishment of New Nursery Mar 2024
Capacity building for 100 cocoa and smallholder farmers in agroforestry techniques April 2024
Planting of tree seedlings (reforestation, enrichment panting, agroforestry) April-May 2024
Map locations of all tree seedling planted at the various planting sites (reforestation, enrichment panting, agroforestry) May-June 2024
Train 15 community members in tree and site monitoring and maintenance June 2024
Carry out tree monitoring activities every quarter (June 2024, Sept 2024, Dec 2024 etc)
Training and setting up 15 women and 10 men in mushroom farming activities Sept. 2024

2025
Nursery maintenance Jan-Mar 2025
Planting of tree seedlings (reforestation, enrichment panting, agroforestry) April-May 2025
Carry out tree monitoring activities every quarter Mar 2025, June 2025, Sept 2025, Dec 2025",approved,
"389aad5b-6577-4cea-bf9f-446dcfd94966",Bulindi Chimpanzee and Community Project,terrafund,,233,UG,terrafund,"This project lasts 5 years, including two year's of raising and planting trees; and three additional years of monitoring/evaluation. 
Trees (1.5 million) will be raised over 3 growing seasons in Years 1 & 2 (1: Apr-Jul 2022, 2: Nov 2022-Mar 2023, 3: Apr-Jul 2023) and planted in 3 x planting seasons in Years 1 & 2 (1: Aug-Oct 2022, 2: Apr-May 2023, 3: Aug-Oct 2023). Evaluations are to be done 3-4 months post-planting season in Years 1 & 2; thereafter all trees will be monitored and evaluated annually in Years, 3, 4 & 5.",approved,existing_expansion
